team,elo_2026,win_rate,form,cluster,tier
Palestine,496.0083974842421,0.3125,0.2,2,Medium
Oman,474.3244957731251,0.44936708860759494,0.2,2,Medium
Guinea,450.36890303015895,0.3902439024390244,0.4,2,Medium
Suriname,449.311799779556,0.3763440860215054,0.4,2,Medium
Qatar,448.43453150649896,0.4525316455696203,0.2,2,Medium
Belarus,447.669586647778,0.3201754385964912,0.0,2,Medium
Thailand,446.3610113759573,0.4723404255319149,0.6,0,Strong
Libya,441.3188189674785,0.3768844221105528,0.4,2,Medium
Finland,440.2191989944944,0.3794466403162055,0.4,2,Medium
Trinidad and Tobago,437.264345398508,0.363265306122449,0.2,2,Medium
Bahrain,436.445280742923,0.41002949852507375,0.4,2,Medium
Benin,429.1255710625378,0.2905027932960894,0.2,2,Medium
Angola,423.6413209610505,0.3347107438016529,0.2,2,Medium
Gabon,420.9774364131257,0.34554973821989526,0.2,2,Medium
Uganda,420.5374464904053,0.4076655052264808,0.2,2,Medium
Niger,418.7132239202396,0.23026315789473684,0.6,2,Medium
Madagascar,407.06177529638,0.29411764705882354,0.8,0,Strong
Montenegro,392.2423263641695,0.35714285714285715,0.4,2,Medium
Kyrgyz Republic,391.9038239488575,0.3435114503816794,0.2,2,Medium
Bulgaria,391.7217540289713,0.3364485981308411,0.2,2,Medium
New Caledonia,389.12269119000894,0.5,0.6,0,Strong
Nicaragua,380.2259972109664,0.3282442748091603,0.2,2,Medium
Zambia,376.3096726830892,0.3929712460063898,0.0,2,Medium
Indonesia,374.4496827937145,0.3769633507853403,0.2,2,Medium
Kenya,370.8866823632295,0.34523809523809523,0.6,2,Medium
Sierra Leone,367.8432829508988,0.2545454545454545,0.4,2,Medium
Tajikistan,367.7994348602178,0.41025641025641024,0.8,0,Strong
Kazakhstan,367.3894248414392,0.208955223880597,0.2,2,Medium
Malawi,362.51192240847024,0.2964426877470356,0.6,2,Medium
Mozambique,360.1767781195669,0.33181818181818185,0.2,2,Medium
Lebanon,356.390598296312,0.2692307692307692,0.4,2,Medium
Sudan,355.81916756275183,0.29961089494163423,0.2,2,Medium
Kuwait,352.74327313141595,0.358695652173913,0.4,2,Medium
Malaysia,346.3545851386618,0.39285714285714285,1.0,0,Strong
Armenia,330.8828807608791,0.2663316582914573,0.2,2,Medium
Liberia,330.4229290016084,0.22580645161290322,0.2,2,Medium
Comoros,326.7694762402051,0.25,0.0,2,Medium
Dominican Republic,325.97379135178704,0.3978494623655914,0.0,2,Medium
Faroe Islands,324.34074573674013,0.1807909604519774,0.6,2,Medium
Guyana,320.6495870904411,0.39285714285714285,0.6,0,Strong
Namibia,313.95274702673646,0.27071823204419887,0.0,2,Medium
Luxembourg,311.7789352921167,0.14864864864864866,0.0,1,Weak
Lesotho,309.418753597714,0.18686868686868688,0.2,1,Weak
El Salvador,307.3283934331745,0.2978723404255319,0.0,2,Medium
Togo,307.3142054110117,0.31016042780748665,0.2,2,Medium
Tanzania,295.5113901058276,0.285140562248996,0.0,2,Medium
Equatorial Guinea,284.99471555159624,0.2949640287769784,0.0,2,Medium
Mauritania,284.8383947596409,0.27205882352941174,0.0,2,Medium
Estonia,283.40699984141827,0.2837370242214533,0.2,2,Medium
Zimbabwe,279.0975973888887,0.3403361344537815,0.2,2,Medium
Rwanda,275.24866101664844,0.30275229357798167,0.2,2,Medium
Azerbaijan,267.67687350369647,0.1956521739130435,0.0,1,Weak
Botswana,265.7588819021089,0.3048780487804878,0.0,2,Medium
Turkmenistan,257.5103773516096,0.37,0.4,2,Medium
Ethiopia,254.6407849563801,0.31666666666666665,0.4,2,Medium
Tahiti,253.17774499719607,0.43037974683544306,0.6,0,Strong
Burundi,252.4199251122664,0.28289473684210525,0.2,2,Medium
Cuba,251.70237852769128,0.3708609271523179,0.2,2,Medium
Philippines,248.64536570842716,0.3878787878787879,0.8,0,Strong
Cyprus,242.7972376653364,0.22549019607843138,0.2,1,Weak
Malta,233.3057856879473,0.16355140186915887,0.4,1,Weak
